pVal	phase	peak.shape	period
Adam15	0.0462298581812637	4	8	24
Adam1a	0.00143352372834668	4	4	24
Adam1b	0.0788155019263494	20	12	24
Adam2	0.0483585663030278	12	4	24
Adam21	0.000121868488945287	4	12	24
Adam22	0.0163963196072215	4	20	24
Adam23	0.00356632382271221	24	12	24
Adam24	0.00077703340661549	4	20	24
Adam26a	0.0960375472305529	16	16	24
Adam28	0.0304083430759586	4	8	24
Adam3	0.0340242184188789	4	12	24
Adam32	0.0122708522393892	4	12	24
Adam33	0.0108056013208113	4	4	24
Adam6a	0.00681381676834041	20	12	24
Adam6b	0.0304083430759586	8	8	24
Adam7	0.273645795977624	16	20	24
Adam8	0.0067466409122486	24	8	24
Adam9	0.0192353309951033	4	16	24
Adamdec1	0.0241557393095539	8	20	24
Adamts1	0.00370728070621325	24	8	24
Adamts10	0.146564418134475	4	20	24
Adamts12	0.000192751129983143	4	20	24
Adamts16	0.0108056013208113	4	4	24
Adamts18	0.0122708522393892	20	12	24
Adamts19	0.00356632382271221	20	12	24
Adamts20	0.0878887635758228	4	4	24
Adamts4	0.0116586184110202	4	8	24
Adamts5	0.00356632382271221	12	12	24
Adamts7	0.00174402398931885	12	12	24
Adamts8	0.131843304698487	24	8	24
Adamtsl1	0.00425064230164876	24	4	24
Adamtsl2	0.0067466409122486	20	8	24
Adamtsl4	0.000790713302947881	20	12	24
Adamtsl5	0.0122708522393892	20	12	24
Adap1	0.0462298581812637	4	8	24
Adap2	0.0163963196072215	24	4	24
Adar	0.000790713302947881	8	12	24
Adarb1	6.48943560548298e-05	16	16	24
Adarb2	0.00174402398931885	20	12	24
Adat1	0.0677673291651841	16	16	24
Adat2	0.000790713302947881	4	12	24
Adck1	0.0067466409122486	4	16	24
Adck2	0.0340242184188789	4	12	24
Adck5	0.000422406343719819	24	16	24
Adcy10	0.0304083430759586	12	16	24
Adcy3	0.0659374832170001	4	20	24
Adcy4	0.0462298581812637	20	16	24
Adcy5	0.00077703340661549	20	20	24
Adcy6	0.00192446500279571	12	16	24
Adcy7	0.175696301191142	20	16	24
Adcy8	0.0067466409122486	20	16	24
Adcy9	6.48943560548298e-05	12	8	24
Adcyap1	0.00192446500279571	20	16	24
Adcyap1r1	0.18376510903103	12	4	24
