pVal	phase	peak.shape	period
1700125H20Rik	0.333012956871291	20	14	24
1700129C05Rik	0.0147010410609193	24	14	24
1810030O07Rik	0.119397940205687	14	4	24
1810032O08Rik	0.911010751038225	16	12	24
1810065E05Rik	0.486215918531447	20	14	24
2010003K11Rik	0.00233377101168051	16	12	24
2010106E10Rik	0.266663829883435	6	12	24
2010204K13Rik	0.924558685498316	14	10	24
2010300C02Rik	0.36391106627172	22	16	24
2200002J24Rik	0.130173837850861	24	14	24
2210010C04Rik	0.909428714199188	24	18	24
2210016L21Rik	0.870966433885491	24	8	24
2210407C18Rik	0.544779176678869	24	10	24
2210408I21Rik	0.867366940041366	20	8	24
2300002M23Rik	0.0912866951214912	4	8	24
2310002L09Rik	0.792898561090937	20	14	24
2310011J03Rik	0.961045596607885	14	16	24
2310022A10Rik	0.45685279891112	22	16	24
2310022B05Rik	0.000440368491934539	16	6	24
2310030G06Rik	0.0617420852627127	12	18	24
2310033P09Rik	0.843446230993851	22	12	24
2310034C09Rik	0.854661481483076	6	20	24
2310039H08Rik	0.684183639585753	6	14	24
2310057M21Rik	0.055266133085592	20	20	24
2310057N15Rik	0.634648133451998	22	16	24
2310067E19Rik	0.801567107888687	12	6	24
2410004B18Rik	6.20080209118209e-05	22	18	24
2410137M14Rik	0.486215918531447	6	14	24
2510009E07Rik	0.228791482834722	10	6	24
2510039O18Rik	0.0087588399589423	16	14	24
2610001J05Rik	0.305571323513925	24	20	24
2610008E11Rik	0.460788686896976	10	4	24
2610028H24Rik	0.532357193411048	24	8	24
2610507B11Rik	0.000211740352147875	10	12	24
2610528J11Rik	2.18857674912224e-05	14	6	24
2700097O09Rik	0.0160112280617002	22	20	24
2810004N23Rik	0.0775936164894809	12	12	24
2810006K23Rik	0.155918409553609	20	10	24
2810025M15Rik	0.00419418419552454	24	10	24
2810032G03Rik	0.915954717591786	8	10	24
2810408A11Rik	0.874784656644556	16	10	24
2900005J15Rik	0.888842573705291	10	8	24
2900026A02Rik	0.00121554714544275	14	16	24
3110009E18Rik	0.0185298273308314	2	12	24
3110040N11Rik	0.0274131971305243	12	4	24
3110070M22Rik	0.597781463805142	10	12	24
3110082I17Rik	0.016487228158009	14	18	24
3300002I08Rik	0.370731157205472	24	12	24
