pVal	phase	peak.shape	period
Abcc12	0.0010676597160768	20	16	24
Abcc2	2.28762852953007e-05	16	8	24
Abcc3	0.0114251903314547	18	4	24
Abcc5	7.8630843007703e-05	24	10	24
Abcc6	0.00232820379506567	18	4	24
Abcc9	0.0127329095876849	10	14	24
Abcd1	0.0302205012783786	10	12	24
Abcd2	6.66510689975454e-07	20	10	24
Abcd3	0.0065368995095635	14	10	24
Abcd4	0.0166900346524078	6	12	24
Abce1	7.43162756898075e-05	20	12	24
Abcf1	0.0108518503152032	18	12	24
Abcf2	0.000206418455786314	24	6	24
Abcf3	0.00584198370899387	10	18	24
Abcg1	0.000660051842996086	16	20	24
Abcg2	2.15216160464535e-06	22	20	24
Abcg3	0.000224349746807567	22	10	24
Abcg4	0.0166900346524078	24	12	24
Abcg5	9.13018290224225e-09	18	8	24
Abcg8	1.52567438814994e-09	18	4	24
Abhd1	0.0191874578257949	6	14	24
Abhd10	0.000155448816133012	12	20	24
Abhd11	0.00515963831672148	10	14	24
Abhd12	0.00697674942243268	2	20	24
Abhd13	0.000159814211991454	20	14	24
Abhd14a	5.27280548700113e-05	4	20	24
Abhd15	0.000784924324698286	18	6	24
Abhd16a	0.000429345121119577	18	14	24
Abhd16b	0.0337984986564103	20	14	24
Abhd17a	7.43162756898075e-05	20	12	24
Abhd17b	3.32138620115884e-05	16	16	24
Abhd17c	1.79947480676755e-06	12	10	24
Abhd2	0.0276759288079416	6	4	24
Abhd3	0.0434321956320731	22	12	24
Abhd4	6.43023334277304e-08	14	6	24
Abhd5	5.27280548700113e-05	2	4	24
Abhd6	2.28230296704727e-11	22	10	24
Abhd8	0.000311851435041988	4	14	24
Abi2	0.0102673954355504	14	14	24
Abi3	0.00587637160603702	2	8	24
Abi3bp	0.0156829201553824	14	10	24
Abl1	0.0209083169957831	16	4	24
Ablim1	1.09670937478029e-05	10	10	24
Ablim2	0.0191874578257949	24	10	24
Ablim3	0.00140884270991091	6	10	24
Abo	0.00538548619792769	22	12	24
Abr	0.0579219679382054	12	18	24
Abra	0.0191874578257949	4	14	24
Abraxas1	0.00107037864169548	14	12	24
Abraxas2	0.00515963831672148	10	10	24
Abtb1	5.62702065292876e-08	12	12	24
Acaa2	1.63388340524798e-05	4	6	24
Acaca	0.0403092182580168	2	10	24
Acacb	1.79947480676755e-06	6	14	24
Acad11	2.47483928255834e-06	24	6	24
Acad8	0.000112689847753252	12	10	24
Acad9	0.000112689847753252	10	14	24
Acadl	0.0034147035592038	18	4	24
Acadm	3.32138620115884e-05	16	8	24
Acads	0.0742440000989037	12	20	24
Acadsb	0.0155706875249889	12	20	24
Acadvl	0.00973108352008835	16	4	24
Acan	0.0127329095876849	24	10	24
Acap1	0.00419915605970521	24	12	24
Acap3	0.000159814211991454	20	14	24
Acat1	0.000416633824775976	10	20	24
Acbd3	0.000613972697173935	8	8	24
Acbd4	0.00106058472124402	10	10	24
Acbd5	0.00015392988601406	14	12	24
Acbd6	0.000305569945879247	12	12	24
Accs	0.133745669214615	16	10	24
Acd	0.000328370597237086	18	4	24
Ace2	0.0123617024661352	20	18	24
Acer1	0.000112689847753252	22	14	24
Acer2	0.000224349746807567	20	14	24
Acer3	0.0381651967165167	22	18	24
Acin1	0.000359619154646548	14	6	24
Ackr1	0.0889736597135656	16	10	24
Ackr2	0.0191874578257949	4	14	24
Ackr3	0.000812816045695085	10	8	24
Ackr4	0.000812816045695085	12	16	24
Acly	1.26936640994017e-08	2	18	24
Aco1	9.16776606805482e-05	6	4	24
Aco2	0.000791584783283439	18	14	24
Acot11	3.32138620115884e-05	22	16	24
Acot12	1.52115812921182e-06	18	12	24
Acot13	0.00282584842813374	20	20	24
Acot2	0.0939863025830009	4	8	24
Acot3	2.21975619105514e-08	18	18	24
Acot4	1.14344645667926e-05	18	18	24
Acot5	0.00697674942243268	8	4	24
Acot6	0.0302205012783786	24	12	24
Acot7	0.0591507992678942	10	20	24
Acot8	0.0954414934646499	2	18	24
Acox1	0.000525784357071501	16	4	24
Acox2	1.0671555567352e-07	4	18	24
Acox3	0.0108518503152032	2	12	24
Acp1	0.000305569945879247	20	12	24
Acp2	0.00015392988601406	4	12	24
