pVal	phase	peak.shape	period
8030451A03Rik	0.705985147032858	18	10	24
8030462N17Rik	0.00212727661570404	18	6	24
9030612E09Rik	0.00326317998481967	18	10	24
9130008F23Rik	0.949386870773421	18	18	24
9130401M01Rik	0.854930902407595	16	18	24
9330133O14Rik	0.0361065189361212	6	10	24
9330175E14Rik	0.0112110240001642	2	20	24
9330182L06Rik	0.101816133239426	18	10	24
9530002B09Rik	0.941146655847695	18	6	24
9530003J23Rik	0.0133018757508504	22	6	24
9530068E07Rik	4.84533563619778e-06	14	8	24
9530077C05Rik	0.583452770577584	18	10	24
9630013D21Rik	0.88391874327861	12	20	24
9930012K11Rik	0.726869706535767	18	12	24
9930021J03Rik	0.151268570475116	12	20	24
9930104L06Rik	0.924558685498316	8	12	24
a	0.261878455651998	18	14	24
A130010J15Rik	0.30309573983278	20	10	24
A1cf	0.589809519228129	24	6	24
A230050P20Rik	2.41667412579254e-11	4	14	24
A2m	0.00144470735643097	18	10	24
A2ml1	0.282329736579554	18	8	24
A330008L17Rik	0.0995288299608486	18	6	24
A430005L14Rik	0.00217097908445466	20	18	24
A430033K04Rik	0.0673905362173787	8	6	24
A430093F15Rik	0.380522498020247	10	20	24
A4galt	0.10817964156689	18	14	24
A530016L24Rik	0.864909738046811	18	14	24
A530021J07Rik	0.918623291290659	8	12	24
A530053G22Rik	0.0140333145768895	18	18	24
A630001G21Rik	0.285019908358601	4	12	24
A630023P12Rik	0.868333673378207	18	14	24
A630038E17Rik	0.95567050260206	22	18	24
A630052C17Rik	0.269932037242644	10	16	24
A730020M07Rik	0.356704578207367	22	4	24
A730089K16Rik	0.0248830044881694	18	18	24
A830005F24Rik	0.306184536373158	18	8	24
A930012O16Rik	0.290816254688095	14	10	24
A930018P22Rik	0.705985147032858	18	14	24
A930024E05Rik	0.0146939325154743	22	18	24
AA986860	0.000298256420413196	20	12	24
Aaas	0.00115175416561739	12	6	24
Aacs	4.01521833968576e-09	22	14	24
Aadac	0.79516303951775	12	8	24
Aadat	0.725037191354579	16	6	24
Aagab	0.000821514191751829	6	12	24
Aamdc	0.435702206368938	4	10	24
Aamp	2.01446188081254e-08	20	8	24
Aanat	0.0588940129340854	18	10	24
Aar2	0.352992573516429	6	12	24
Aard	0.226282133670517	12	18	24
