pVal	phase	peak.shape	period
Abhd8	0.0230935800335485	24	12	24
Abi2	0.368125567181675	16	12	24
Abi3	0.871625044826851	4	4	24
Abi3bp	0.519291397922113	16	12	24
Abl1	0.00948855963537457	12	16	24
Ablim1	0.0556092105931988	20	20	24
Ablim2	0.0230935800335485	20	12	24
Ablim3	0.0116932682695403	16	20	24
Abo	0.557017773937207	12	4	24
Abr	0.758836984699842	4	20	24
Abra	0.488548060448251	24	16	24
Abraxas1	0.04534462372229	8	12	24
Abraxas2	0.0240558125349464	8	20	24
Abtb1	0.000434017281779038	12	8	24
Acaa2	0.861858384588014	24	4	24
Acaca	0.000868034563558076	16	12	24
Acacb	0.000238009477104634	24	12	24
Acad11	0.00453311645402328	12	16	24
Acad8	0.314029322258468	8	8	24
Acad9	0.528632412817892	8	8	24
Acadl	0.206882285987516	8	20	24
Acadm	0.00216641459683553	8	20	24
Acads	0.100096579067758	20	8	24
Acadsb	0.314029322258468	4	16	24
Acadvl	0.182159304630712	4	8	24
Acan	0.898093133070531	20	4	24
Acap1	0.240395262542571	12	12	24
Acap3	0.0233865365390806	16	16	24
Acat1	0.288529964926549	16	12	24
Acbd3	0.114767342144517	8	4	24
Acbd4	0.00869784633242669	4	8	24
Acbd5	0.0104641439359131	12	16	24
Acbd6	0.868156695301513	8	20	24
Accs	0.00435876582117623	12	8	24
Acd	0.527373218793948	12	20	24
Ace2	0.886936270735144	8	20	24
Acer1	0.883182534438062	12	20	24
Acer2	0.577059929853098	16	8	24
Acer3	0.93016788782305	16	20	24
Acin1	0.0851727096042551	8	8	24
Ackr1	0.868156695301513	12	4	24
Ackr2	0.935133571830463	20	12	24
Ackr3	0.491889588216645	12	4	24
Ackr4	0.948583248753201	16	12	24
Acly	0.000132499703485318	24	8	24
Aco1	0.0843330114031075	24	4	24
Aco2	0.0224510750775174	20	8	24
Acot11	0.000144021416831868	20	8	24
Acot12	0.000138260560158593	12	16	24
Acot13	0.861858384588014	16	12	24
Acot2	0.591116264447621	8	8	24
Acot3	0.878887635758228	24	16	24
Acot4	0.174879276165303	24	4	24
Acot5	0.0103816042728868	4	4	24
Acot6	0.368125567181675	16	12	24
Acot7	5.12293125853557e-05	20	12	24
Acot8	0.816902191708202	20	20	24
Acox1	0.0271283823853335	12	16	24
Acox2	0.195652586455209	8	8	24
Acox3	0.0116932682695403	8	20	24
Acp1	0.00785049441059562	12	12	24
Acp2	0.338509964121194	8	12	24
Acp5	0.049928533517971	20	20	24
Acp6	0.0205585458766449	8	12	24
Acp7	0.0308940058851104	20	20	24
Acpp	0.0930970286943822	8	8	24
Acr	0.720281604229147	20	20	24
Acrbp	0.233505479992354	24	8	24
Acrv1	0.884021247394907	20	20	24
Acsbg1	0.0372716169370137	4	20	24
Acsf2	0.947136758718211	12	12	24
Acsl1	0.195652586455209	8	8	24
Acsl4	0.000453745340041722	16	16	24
Acsl5	0.0037616952384104	24	16	24
Acsl6	0.935133571830463	4	12	24
Acsm1	0.74630671630261	20	20	24
Acsm2	0.809284193922146	8	16	24
Acsm5	2.72793507175655e-05	12	16	24
Acss1	0.817815353889107	8	16	24
Acta1	0.752984147962036	4	4	24
Actb	0.824303698808858	4	4	24
Actg2	0.349758552330605	24	16	24
Actl11	0.272158745957339	24	8	24
Actl6a	0.0567818064028368	16	16	24
Actl6b	0.368125567181675	20	12	24
Actl7a	0.100096579067758	4	8	24
Actl7b	0.898093133070531	4	8	24
Actl9	0.78350762235274	20	16	24
Actn1	0.0074836916925058	16	4	24
Actn2	0.910444718162414	4	20	24
Actn3	0.21285840153171	4	4	24
Actn4	0.288529964926549	8	8	24
Actr1a	0.0101377522492757	8	16	24
Actr1b	0.00779551217969354	16	12	24
Actr2	0.658861129466782	8	4	24
Actr6	0.00785049441059562	16	12	24
Actrt1	0.886936270735144	12	12	24
Actrt2	0.0519605550754842	20	16	24
Actrt3	0.957620427320016	4	4	24
Acvr1	0.00418441518832918	12	8	24
Acvr1b	0.0014014876228708	12	16	24
Acvr2a	0.145732730137752	16	12	24
Acvr2b	0.0331011657580026	16	16	24
Acvrl1	0.934062516783	20	4	24
Acy1	0.000138260560158593	20	8	24
Acy3	0.000132499703485318	12	16	24
Acyp1	0.884021247394907	24	8	24
Acyp2	0.103423390858654	16	12	24
Ada	0.917520280070839	20	16	24
Adad1	0.879740821839602	4	4	24
Adal	0.687933806982074	16	8	24
Adam10	0.0843330114031075	16	12	24
Adam15	0.689119158866361	4	8	24
Adam1a	0.0372716169370137	4	4	24
Adam1b	0.879740821839602	20	12	24
Adam2	0.792948619226838	12	4	24
Adam21	0.00292484373468689	4	12	24
Adam22	0.352390111658957	4	20	24
Adam23	0.0537555702400922	24	12	24
Adam24	0.0217569353852337	4	20	24
Adam26a	0.950029271125997	16	16	24
Adam28	0.677673291651841	4	8	24
Adam3	0.859917258727593	4	12	24
Adam32	0.368125567181675	4	12	24
Adam33	0.288529964926549	4	4	24
Adam6a	0.0896489905945903	20	12	24
Adam6b	0.519291397922113	8	8	24
Adam7	0.824303698808858	16	20	24
Adam8	0.0643633778627828	24	8	24
Adam9	0.202374452122124	4	16	24
