pVal	phase	peak.shape	period
Acadsb	0.955880204662312	12	20	24
Acadvl	0.159591671276139	18	2	24
Acan	0.937561602875535	22	21	24
Acap1	0.060531386968688	24	9	24
Acap3	0.0663022747252105	20	14	24
Acat1	0.0109634581308327	10	22	24
Acbd3	0.000648407407711224	8	3	24
Acbd4	0.00309340691993188	10	10	24
Acbd5	0.00673389434256368	14	11	24
Acbd6	0.000652858256724584	10	21	24
Accs	0.486600479016986	15	12	24
Acd	0.000309492836219633	18	4	24
Ace2	0.0637526044787652	21	14	24
Acer1	0.0143178133645586	22	11	24
Acer2	0.200460739844251	22	12	24
Acer3	0.0297630445362323	3	12	24
Acin1	0.00922684977511748	11	9	24
Ackr1	0.802495538719267	24	2	24
Ackr2	0.0778634495726293	3	15	24
Ackr3	0.000898350879502223	11	7	24
Ackr4	0.0203277494215389	12	16	24
Acly	5.24540059426021e-11	1	19	24
Aco1	0.000371216970297082	7	3	24
Aco2	0.000183471058408829	19	13	24
Acot11	0.00428437282427281	22	16	24
Acot12	1.98974524028518e-08	18	13	24
Acot13	0.000126900048282031	21	12	24
Acot2	0.268073006646977	17	22	24
Acot3	2.09857562997876e-13	17	18	24
Acot4	2.39964156760217e-09	21	12	24
Acot5	0.329820061687484	8	2	24
Acot6	0.186170677760882	21	20	24
Acot7	0.447217502230646	1	12	24
Acot8	0.812043170538565	1	19	24
Acox1	0.000243727300602742	16	3	24
Acox2	1.66792715065996e-10	4	17	24
Acox3	0.92385846873092	16	15	24
Acp1	0.000528259566519861	20	13	24
Acp2	1.073074542848e-05	9	7	24
Acp5	0.657067473184318	1	19	24
Acp6	3.22660119257066e-06	13	10	24
Acp7	0.912806512620092	24	9	24
Acpp	3.04310218218881e-05	15	4	24
Acr	0.00228819842260498	24	10	24
Acrbp	0.165362514269792	6	6	24
Acrv1	0.342258292523453	15	19	24
Acsbg1	0.922268238340611	6	7	24
Acsf2	0.0623266827816544	15	12	24
Acsl1	0.00125851522087547	1	19	24
Acsl4	1.43075324467154e-13	2	13	24
Acsl5	6.71823242847251e-09	8	11	24
Acsl6	0.0467278784876723	20	13	24
Acsm1	0.00110698218260208	16	4	24
Acsm2	0.779909847240103	7	11	24
Acsm5	1.57048482043424e-08	17	6	24
Acss1	0.00132592398179129	24	9	24
Acta1	0.862730138656091	11	2	24
Actb	1.11977054539049e-10	6	15	24
Actg2	0.896923496860448	13	14	24
Actl11	0.094009485165137	23	11	24
Actl6a	0.979191729538437	14	10	24
Actl6b	0.233854732325285	24	10	24
Actl7a	0.0139431134587379	23	10	24
Actl7b	0.00913825863091569	24	9	24
Actl9	0.51995405524199	6	3	24
Actn1	1.9228420109819e-06	18	9	24
Actn2	0.473599856419166	3	15	24
Actn3	0.202302424632212	24	9	24
Actn4	2.59103702415287e-07	6	15	24
Actr1a	0.709490286900838	15	13	24
Actr1b	0.339827951011733	19	9	24
Actr2	0.757142983088326	14	11	24
Actr6	1.91202898957535e-08	20	14	24
Actrt1	0.413892904034952	21	13	24
Actrt2	0.297195869495361	22	18	24
Actrt3	0.013194123809494	21	17	24
Acvr1	0.058551526734357	18	2	24
Acvr1b	5.13607094342988e-05	18	2	24
Acvr2a	0.0632637665319903	19	3	24
Acvr2b	0.0540330307455742	16	12	24
Acvrl1	0.919543574941338	24	3	24
Acy1	1.07175612434063e-11	1	7	24
Acy3	5.86058614099992e-05	15	14	24
Acyp1	0.000130553862078105	2	15	24
Acyp2	0.0128717124441617	22	2	24
Ada	0.954136276596984	12	12	24
Adad1	0.901116837521747	19	22	24
Adal	0.00334110040396211	20	20	24
Adam10	0.0719211121670409	4	13	24
Adam15	0.404915502843633	24	10	24
Adam1a	0.849681381927756	16	16	24
Adam1b	0.000877127399691098	24	12	24
Adam2	0.00504493519284229	21	14	24
Adam21	0.805955391682427	24	9	24
Adam22	0.0653074504251305	24	10	24
Adam23	0.216584324117751	7	8	24
Adam24	0.968866035337574	24	4	24
Adam26a	0.84476577008723	8	17	24
Adam28	0.945181665480194	8	2	24
Adam3	0.662230393033604	5	8	24
Adam32	0.439273313785112	7	11	24
Adam33	0.3269289462514	24	20	24
Adam6a	0.694319072850669	3	14	24
Adam6b	0.898014505320887	18	12	24
Adam7	0.456568936032118	15	20	24
Adam8	0.362690861591626	23	20	24
Adam9	0.960146903912831	13	10	24
Adamdec1	0.20921173426688	22	3	24
Adamts1	0.149071474807028	6	11	24
Adamts10	0.862124890546136	19	18	24
Adamts12	0.878478899246735	2	15	24
Adamts16	0.11281311666108	21	13	24
Adamts18	0.0388808527591601	24	10	24
Adamts19	0.0269010699185724	21	12	24
Adamts20	0.907563004749166	18	14	24
Adamts4	0.864262184498611	20	22	24
Adamts5	0.931852782038572	24	2	24
Adamts7	0.856837928892842	17	8	24
Adamts8	0.0347806982050799	20	14	24
Adamtsl1	0.113742499516725	22	22	24
Adamtsl2	0.9049962108495	1	10	24
Adamtsl4	0.882890537726358	24	2	24
Adamtsl5	0.00491216060333166	24	10	24
Adap1	0.288601893316261	24	9	24
Adap2	0.0284568281390308	2	22	24
Adar	2.04140296742808e-05	9	15	24
Adarb1	0.347608702005813	21	12	24
Adarb2	0.487141051899487	21	13	24
Adat1	0.062529133469116	21	16	24
Adat2	0.0833737258801605	18	3	24
Adck1	0.0137567719764645	10	10	24
Adck2	0.877831999243795	2	2	24
Adck5	1.14329371702406e-15	10	10	24
Adcy10	0.943859265110314	12	22	24
Adcy3	0.38902956705658	24	9	24
Adcy4	0.76221494304798	2	2	24
Adcy5	0.300314225975503	24	10	24
Adcy6	6.15738318312048e-08	17	7	24
Adcy7	0.935116970339808	14	13	24
Adcy8	0.124254197440171	5	9	24
Adcy9	1.75391563239251e-09	14	8	24
Adcyap1	0.858434739337856	1	4	24
Adcyap1r1	0.0445396273965537	24	9	24
Add2	0.0441905172606154	23	11	24
Add3	0.934483311399259	18	2	24
Adgb	0.0528546726495389	10	11	24
Adgra1	0.00405500318324352	23	12	24
Adgra2	0.563217030876594	1	13	24
Adgrb1	0.425473051255115	8	9	24
Adgrb2	0.671975716007839	24	4	24
Adgre1	0.0133760774416735	8	7	24
Adgre4	0.795899275318973	21	20	24
Adgrf1	0.709010246470567	12	12	24
Adgrf4	0.945130694835626	23	14	24
Adgrg1	0.335587495486763	24	13	24
Adgrg2	1.87224090542975e-06	17	15	24
Adgrg3	2.9234230155724e-10	12	9	24
Adgrg6	0.862134462250294	19	22	24
Adgrl1	0.846674017864507	16	21	24
Adgrl2	0.000144080573095694	9	12	24
Adgrl3	0.161638655684575	24	12	24
Adgrl4	0.000243861606481739	3	13	24
Adgrv1	1.1034331184441e-07	20	9	24
Adh1	4.34954950461072e-14	1	11	24
Adh4	4.97225964188257e-10	12	10	24
Adh5	0.0632224474748017	20	15	24
Adh7	6.91446596549189e-06	20	20	24
Adhfe1	0.793770889913259	22	10	24
Adi1	0.41357765239382	13	21	24
Adig	0.550153131580071	12	21	24
Adipoq	0.956861840063335	14	13	24
Adipor1	0.10584132047654	19	13	24
Adipor2	2.61041273607918e-08	2	22	24
Adm	0.00382222942524847	6	8	24
Adm2	0.955347703160473	24	9	24
Adnp2	0.00249100060754542	10	7	24
Ado	1.31472820027174e-06	6	9	24
Adora1	1.4966886546207e-14	16	12	24
Adora2a	0.0151155571137371	24	9	24
Adora2b	0.285054204600795	23	11	24
Adpgk	0.856343898634929	18	20	24
Adprh	6.1464299849617e-12	6	12	24
Adprhl1	0.675731081130019	6	9	24
Adprhl2	3.96097867677581e-06	10	10	24
Adprm	7.24025326286623e-10	13	10	24
Adra1a	0.885617738496661	15	2	24
Adra1b	4.94697214461192e-08	1	20	24
Adra2a	0.859121189920604	13	17	24
Adra2b	0.0521493359672492	8	12	24
Adra2c	0.00164281284912092	23	11	24
Adrb1	0.965131759861401	20	3	24
Adrb3	0.0220236039361087	5	17	24
Adsl	0.954110662752912	1	22	24
Adss	5.28693278634782e-07	21	19	24
Adssl1	0.129974322219582	12	19	24
Adtrp	3.19728554356303e-05	21	11	24
Aebp1	0.805705920225902	24	9	24
AF366264	0.940256294483595	5	13	24
Afap1	0.889602069686835	6	10	24
Afap1l1	0.591537208361592	21	14	24
Afap1l2	0.923881666314116	7	8	24
Aff1	0.000446867777572537	6	19	24
Aff2	0.385249606565017	23	13	24
Aff3	0.00757646495423777	22	16	24
Aff4	0.00106350165895993	16	6	24
Afg1l	0.00513886815395959	3	12	24
Afg3l1	0.00615223365426091	13	7	24
Afg3l2	1.08999219776135e-05	18	13	24
Afm	0.0451460184114325	21	22	24
Afmid	1.45977936090098e-06	2	14	24
Afp	0.00200788426961655	12	18	24
Aftph	0.0593668496199867	9	17	24
Aga	0.152946766314824	3	3	24
Agap1	0.00197075063156075	22	22	24
Agbl3	0.0111663511321292	21	22	24
Agbl5	0.000466883952945492	18	10	24
Ager	0.333230905209087	23	11	24
Agfg1	0.00536640399307025	19	3	24
Agfg2	3.48915645167108e-05	9	15	24
Aggf1	0.943021922202919	6	18	24
Agmo	2.30799304716818e-07	23	10	24
Ago2	0.0906113437832395	19	8	24
Ago4	4.93810505442825e-07	12	9	24
