pVal	phase	peak.shape	period
2210016L21Rik	0.792348602754029	10	12	24
2210407C18Rik	0.181456060034923	24	10	24
2210408I21Rik	0.912559463723077	20	18	24
2300002M23Rik	0.952431892347156	22	20	24
2310002L09Rik	0.271296257880081	24	10	24
2310011J03Rik	0.00175366494908895	18	14	24
2310022A10Rik	0.867519685484657	6	6	24
2310022B05Rik	0.0004181201890515	16	6	24
2310030G06Rik	0.950465936205913	12	4	24
2310033P09Rik	0.345780894451938	8	10	24
2310034C09Rik	0.820572914947742	22	10	24
2310039H08Rik	0.34566736457824	14	16	24
2310057M21Rik	0.359816143555808	22	10	24
2310057N15Rik	0.126089626795406	24	10	24
2310067E19Rik	0.905469393930087	14	18	24
2410004B18Rik	1.04982272117618e-05	20	20	24
2410137M14Rik	0.869859407941185	24	18	24
2510009E07Rik	0.014264532437848	6	10	24
2510039O18Rik	0.0111682327439542	18	6	24
2610001J05Rik	0.896246387615019	2	14	24
2610008E11Rik	0.109240226288134	10	10	24
2610028H24Rik	0.20995780298526	24	10	24
2610507B11Rik	0.0175176799178846	10	14	24
2610528J11Rik	2.89446320874081e-05	12	12	24
2700097O09Rik	0.368787984394011	20	20	24
2810004N23Rik	0.0302495891990729	10	14	24
2810006K23Rik	0.140137998437674	22	12	24
2810025M15Rik	0.016865932948173	2	12	24
2810032G03Rik	0.046443197649341	18	10	24
2810408A11Rik	0.779595017194352	22	20	24
2900005J15Rik	0.200431840067016	24	14	24
2900026A02Rik	0.124279185486191	12	8	24
3110009E18Rik	0.0309728835175909	2	12	24
3110040N11Rik	0.921167790519772	10	18	24
3110070M22Rik	0.869804848185278	12	6	24
3110082I17Rik	0.00015274917364073	16	16	24
3300002I08Rik	0.0568049255250245	22	18	24
3830406C13Rik	0.0603090336871535	10	6	24
3830417A13Rik	0.118060300091698	6	12	24
4430402I18Rik	0.959969588964649	4	14	24
4632404H12Rik	0.209590587281987	14	12	24
4632415L05Rik	0.786334292498008	22	10	24
4833420G17Rik	0.000333185336138859	16	6	24
4833427G06Rik	0.920224354607475	24	4	24
4921504E06Rik	0.412396941143766	24	18	24
4921507P07Rik	0.907832593866053	24	6	24
4921517D22Rik	0.87086586491462	24	14	24
4921524J17Rik	0.000534419986454654	20	12	24
4921524L21Rik	0.00780728556193136	22	4	24
4921530L21Rik	0.910463225273474	10	10	24
4921536K21Rik	0.077575308761777	24	10	24
4922502D21Rik	0.886534207905019	6	16	24
4930415O20Rik	0.829688569808679	24	18	24
4930429B21Rik	0.621311392442629	24	10	24
4930430A15Rik	0.772136347264413	22	12	24
4930430F08Rik	6.56745429596556e-05	20	20	24
4930432K21Rik	0.528521624760219	22	14	24
4930433N12Rik	0.156722177249718	22	16	24
4930447C04Rik	0.261049854517468	22	12	24
4930451I11Rik	0.314152594590038	24	12	24
4930452B06Rik	0.644230080886387	24	10	24
4930465K10Rik	0.865221802911195	24	18	24
4930470P17Rik	0.145110799120824	24	10	24
4930471G03Rik	0.760496338226771	24	10	24
4930474N05Rik	0.436575206611691	24	10	24
4930483J18Rik	0.653735012014643	4	6	24
4930486L24Rik	0.0383918619892468	24	8	24
4930503B20Rik	0.0731119862439363	24	10	24
4930503L19Rik	0.317088600146954	22	18	24
4930505A04Rik	0.397541873369213	16	14	24
4930515G01Rik	0.0125283677810491	22	14	24
4930519G04Rik	0.0076092458364855	20	20	24
4930522H14Rik	0.0206569755577576	20	16	24
4930524B15Rik	0.23097044933791	20	10	24
4930539E08Rik	0.883946198365409	16	18	24
4930544G11Rik	0.904606860848348	22	10	24
4930544M13Rik	0.915606452945104	22	4	24
4930548H24Rik	0.959267651053717	2	8	24
4930550C14Rik	0.158990071649646	2	4	24
4930556L07Rik	0.000877367499824235	24	10	24
4930578I06Rik	0.94156353646713	14	4	24
4930579K19Rik	0.965975497542523	20	10	24
4930591A17Rik	0.0232215988246705	24	12	24
