pVal	phase	peak.shape	period
4930471G03Rik	0.879708796638285	12	8	24
4930474N05Rik	0.00785049441059562	20	12	24
4930483J18Rik	0.852727964285026	16	16	24
4930486L24Rik	0.934062516783	12	20	24
4930503B20Rik	0.754057342566077	16	12	24
4930503L19Rik	0.328900778049162	4	8	24
4930505A04Rik	0.0470886477116089	16	12	24
4930515G01Rik	0.127519269049463	8	4	24
4930519G04Rik	0.953052556992902	20	12	24
4930522H14Rik	0.202399227367458	24	16	24
4930524B15Rik	0.658861129466782	4	4	24
4930539E08Rik	0.510363276283183	12	16	24
4930544G11Rik	0.00418441518832918	20	8	24
4930544M13Rik	0.206882285987516	16	4	24
4930548H24Rik	0.912178663953234	8	12	24
4930550C14Rik	0.184062783590837	4	16	24
4930556L07Rik	0.338099933919585	20	8	24
4930578I06Rik	0.527373218793948	4	20	24
4930579K19Rik	0.789544001842982	8	4	24
4930591A17Rik	0.217401653785985	20	12	24
4931406B18Rik	0.293658426382464	16	16	24
4931406C07Rik	0.0189771192707491	4	12	24
4931406H21Rik	0.0224510750775174	24	16	24
4931414P19Rik	0.00149257018926109	24	16	24
4931417E11Rik	0.202374452122124	24	4	24
4931428F04Rik	0.0481946491807723	4	8	24
4931428L18Rik	0.0415721881220538	20	4	24
4931429L15Rik	0.843504950469846	4	12	24
4931431C16Rik	0.942274078237427	4	12	24
4932414N04Rik	0.884021247394907	20	20	24
4932435O22Rik	0.787564752990127	16	12	24
4932438A13Rik	0.000124414044850149	4	16	24
4932438H23Rik	0.0655498673818174	20	4	24
4933400A11Rik	0.519291397922113	8	12	24
4933402J07Rik	0.792948619226838	8	20	24
4933404G15Rik	0.462298581812637	24	12	24
4933411K16Rik	0.103803859773971	12	8	24
4933414I15Rik	0.099857067035942	12	12	24
4933415F23Rik	0.932232670834816	8	8	24
4933425L06Rik	0.809284193922146	12	16	24
4933427D06Rik	0.293094034107904	20	16	24
4933427D14Rik	0.288529964926549	12	20	24
4933427E11Rik	0.00435876582117623	20	8	24
4933430I17Rik	0.911042690852582	16	8	24
4933431E20Rik	0.0151148745740967	4	16	24
4933434E20Rik	0.00323844863518528	16	8	24
4933436I01Rik	0.304952981243328	24	12	24
4933440M02Rik	0.349758552330605	24	16	24
5330439B14Rik	0.349758552330605	20	8	24
5430419D17Rik	0.483585663030278	24	8	24
5730455P16Rik	0.0233865365390806	12	8	24
6030458C11Rik	0.244135454377285	16	12	24
6030498E09Rik	0.659216523492435	20	8	24
6330403K07Rik	0.491313136447585	20	12	24
6330549D23Rik	0.288529964926549	8	12	24
6430548M08Rik	0.00817759834437044	24	12	24
6820408C15Rik	0.903962452769447	24	16	24
8030451A03Rik	0.63724263937602	16	12	24
8030462N17Rik	0.00929293956183602	16	8	24
9030612E09Rik	0.0240558125349464	24	4	24
9130008F23Rik	0.918825545155148	20	16	24
9130401M01Rik	0.0217569353852337	16	20	24
9330133O14Rik	0.000504244395872516	24	16	24
9330175E14Rik	0.0595089922230827	12	8	24
9330182L06Rik	0.569127738524882	20	16	24
9530002B09Rik	0.0115794816889891	8	4	24
9530003J23Rik	0.0926820176553313	20	8	24
9530068E07Rik	0.000453745340041722	12	16	24
9530077C05Rik	0.903962452769447	12	8	24
9630013D21Rik	0.912111236424177	12	4	24
9930012K11Rik	0.346194265281409	8	16	24
9930021J03Rik	0.324168039624338	12	20	24
9930104L06Rik	0.00506887612463783	8	12	24
a	0.183973052745191	20	12	24
A130010J15Rik	0.510363276283183	16	16	24
A1cf	0.0809596909469832	4	12	24
A230050P20Rik	0.000453745340041722	4	16	24
A2m	0.0255038538098926	20	16	24
A2ml1	0.853691607787323	12	12	24
A330008L17Rik	0.457129911172827	16	16	24
A430005L14Rik	0.0252574594622071	20	16	24
A430033K04Rik	0.162084019812169	8	12	24
A430093F15Rik	0.527332581454937	12	8	24
A4galt	0.483585663030278	16	16	24
A530016L24Rik	0.886936270735144	4	12	24
A530021J07Rik	0.106989714681366	8	12	24
A530053G22Rik	0.101199613683729	20	16	24
A630001G21Rik	0.324168039624338	4	20	24
A630023P12Rik	0.659165726818671	12	8	24
A630038E17Rik	0.677673291651841	24	20	24
A630052C17Rik	0.527630736569329	20	4	24
A730020M07Rik	0.884021247394907	20	8	24
A730089K16Rik	0.147566876464993	20	16	24
A830005F24Rik	0.871573840849299	20	16	24
A930012O16Rik	0.190786869513532	12	12	24
A930018P22Rik	0.883182534438062	4	4	24
A930024E05Rik	0.0112255375387587	4	12	24
AA986860	0.00155746454531592	20	16	24
Aaas	0.0442626950643013	12	8	24
Aacs	0.000907490680083443	24	12	24
Aadac	0.491889588216645	24	20	24
Aadat	0.383258499292972	16	16	24
